CODE_LIGNE,LIB_LIGNE,origin,destination
570000,Ligne de Paris-Austerlitz à Bordeaux-St-Jean,Paris-Austerlitz,Bordeaux-St-Jean
580000,Ligne de Châteauneuf-sur-Charente à St-Mariens-St-Yzan,Châteauneuf-sur-Charente,St-Mariens-St-Yzan
590000,Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon,,
593000,Ligne de Vierzon à St-Pierre-des-Corps,Vierzon,St-Pierre-des-Corps
594000,Ligne de Joué-lès-Tours à Châteauroux,Joué-lès-Tours,Châteauroux
598000,Ligne de Port-de-Piles à Argenton-sur-Creuse,Port-de-Piles,Argenton-sur-Creuse
600000,Ligne de Salbris au Blanc,,
601000,Ligne de St-Benoît au Blanc,,
604000,Ligne de Mignaloux-Nouaillé à Bersac,Mignaloux-Nouaillé,Bersac
606000,Ligne du Dorat à Limoges-Bénédictins,,
610000,Ligne de Limoges-Bénédictins à Angoulême,Limoges-Bénédictins,Angoulême
611000,Ligne de Limoges-Bénédictins à Périgueux,Limoges-Bénédictins,Périgueux
613000,Ligne de Nexon à Brive-la-Gaillarde,Nexon,Brive-la-Gaillarde
621000,Ligne de Coutras à Tulle,Coutras,Tulle
628000,Ligne de Siorac-en-Périgord à Cazoulès,Siorac-en-Périgord,Cazoulès
629000,Ligne de Libourne au Buisson,,
631000,Ligne de Niversac à Agen,Niversac,Agen
640000,Ligne de Bordeaux-St-Jean à Sète-Ville,Bordeaux-St-Jean,Sète-Ville
640100,Ligne de Colombiers à Cazouls-lès-Béziers,Colombiers,Cazouls-lès-Béziers
643000,Ligne de Port-Ste-Marie à Riscle,Port-Ste-Marie,Riscle
647000,Ligne de Bon-Encontre à Vic-en-Bigorre,Bon-Encontre,Vic-en-Bigorre
648000,Ligne de St-Agne à Auch,St-Agne,Auch
649000,Ligne de Castelsarrasin à Beaumont-de-Lomagne,Castelsarrasin,Beaumont-de-Lomagne
650000,Ligne de Toulouse à Bayonne,Toulouse,Bayonne
652000,Ligne de Morcenx à Bagnères-de-Bigorre,Morcenx,Bagnères-de-Bigorre
655000,Ligne de Bordeaux-St-Jean à Irun,Bordeaux-St-Jean,Irun
666000,Ligne de Lourdes à Pierrefitte-Nestalas,Lourdes,Pierrefitte-Nestalas
667000,Ligne de Lannemezan à Arreau-Cadéac,Lannemezan,Arreau-Cadéac
668000,Ligne de Montréjeau-Gourdan-Polignan à Luchon,Montréjeau-Gourdan-Polignan,Luchon
669000,Ligne de Villefranche-Vernet-les-Bains à Latour-de-Carol,Villefranche-Vernet-les-Bains,Latour-de-Carol
670000,Ligne de Boussens à St-Girons,Boussens,St-Girons
672000,Ligne de Portet-St-Simon à Puigcerda (frontière),Portet-St-Simon,Puigcerda (frontière)
676000,Ligne de Carcassonne à Rivesaltes,Carcassonne,Rivesaltes
677000,Ligne de Narbonne à Port-Bou (frontière),Narbonne,Port-Bou (frontière)
677306,Raccordement de Narbonne-Triangle,,
678300,Raccordement de Port-Vendres-Ville à Port-Vendres-Quais,,
679000,Ligne de Perpignan à Villefranche-Vernet-les-Bains,Perpignan,Villefranche-Vernet-les-Bains
679305,Raccordement TGV du SOLER,,
680000,Ligne d'Elne à Arles-sur-Tech,,
681000,Ligne de La Guerche-sur-l'Aubois à Marseille-lès-Aubigny,La Guerche-sur-l'Aubois,Marseille-lès-Aubigny
684000,Ligne d'Étampes à Beaune-la-Rolande,,
689000,Ligne de St-Germain-du-Puy à Cosne-Cours-sur-Loire,St-Germain-du-Puy,Cosne-Cours-sur-Loire
690000,Ligne de Vierzon à Saincaize,Vierzon,Saincaize
692100,Ligne de St-Satur à St-Satur-Gare-d'Eau,St-Satur,St-Satur-Gare-d'Eau
694000,Ligne de Paulhan à Montpellier,Paulhan,Montpellier
695000,Ligne de Bourges à Miécaze,Bourges,Miécaze
696000,Ligne de Châteauroux à La Ville-Gozet,Châteauroux,La Ville-Gozet
699000,Ligne de Champillet-Urciers à Lavaufranche,Champillet-Urciers,Lavaufranche
701000,Ligne de Capdenac à Rodez,Capdenac,Rodez
702000,Ligne de Montluçon à St-Sulpice-Laurière,Montluçon,St-Sulpice-Laurière
703000,Ligne de Vieilleville à Bourganeuf,Vieilleville,Bourganeuf
705000,Ligne de Montluçon à Moulins,Montluçon,Moulins
707000,Ligne de Commentry à Gannat,Commentry,Gannat
709000,Ligne de Lapeyrouse à Volvic,Lapeyrouse,Volvic
710000,Ligne de Laqueuille au Mont-Dore,,
711000,Ligne d'Eygurande-Merlines à Clermont-Ferrand,,
712000,Ligne de Busseau-sur-Creuse à Ussel,Busseau-sur-Creuse,Ussel
713000,Ligne du Palais à Eygurande-Merlines,,
716000,Ligne de Tulle à Meymac,Tulle,Meymac
718000,Ligne de Brive-la-Gaillarde à Toulouse-Matabiau via Capdenac,Brive-la-Gaillarde,Toulouse-Matabiau via Capdenac
719000,Ligne de Souillac à Viescamp-sous-Jallès,Souillac,Viescamp-sous-Jallès
720000,Ligne de Figeac à Arvant,Figeac,Arvant
721000,Ligne de Bort-les-Orgues à Neussargues,Bort-les-Orgues,Neussargues
722000,Ligne de Béziers à Neussargues,Béziers,Neussargues
723000,Ligne du Monastier à La Bastide-St-Laurent-les-Bains,,
724000,Ligne de Cahors à Capdenac,Cahors,Capdenac
725000,Ligne de Sévérac-le-Château à Rodez,Sévérac-le-Château,Rodez
731000,Ligne de Sète-Ville à Montbazin-Gigean,Sète-Ville,Montbazin-Gigean
732000,Ligne de Vias à Lodève,Vias,Lodève
734000,Ligne de Narbonne à Bize,Narbonne,Bize
736000,Ligne de Castelnaudary à Rodez,Castelnaudary,Rodez
737000,Ligne de Castres à Bédarieux,Castres,Bédarieux
738000,Ligne de Montauban-Ville-Bourbon à La Crémade,Montauban-Ville-Bourbon,La Crémade
739000,Ligne de Lexos à Montauban-Ville-Bourbon,Lexos,Montauban-Ville-Bourbon
741000,Ligne de Tessonnières à Albi,Tessonnières,Albi
742000,Ligne d'Albi à St-Juéry,,
745000,Ligne de Villeneuve-St-Georges à Montargis,Villeneuve-St-Georges,Montargis
746000,Ligne de Corbeil-Essonnes à Montereau,Corbeil-Essonnes,Montereau
747000,Ligne de Bourron-Marlotte-Grez à Malesherbes,Bourron-Marlotte-Grez,Malesherbes
748000,Ligne de Montargis à Sens,Montargis,Sens
749000,Ligne de Triguères à Surgy,Triguères,Surgy
750000,Ligne de Moret-Veneux-les-Sablons à Lyon-Perrache,Moret-Veneux-les-Sablons,Lyon-Perrache
750316,Raccordement de Badan (poste 1) à Chasse-sur-Rhône (poste 3),,
752000,Ligne de Combs-la-Ville à St-Louis (LGV),Combs-la-Ville,St-Louis (LGV)
752100,Ligne de Villeneuve-St-Georges à la bifurcation de Moisenay (LGV),Villeneuve-St-Georges,la bifurcation de Moisenay (LGV)
752305,Raccordement de Valenton (LGV),,
752308,Raccordement de Coubert (LGV),,
752330,Raccordement de Lyon-St-Clair (LGV),,
752340,Raccordement de Grenay (LGV),,
752342,Raccordement de St-Marcel-lès-Valence,,
752350,Raccordement d'Heyrieux (LGV),,
753000,Ligne de Laroche-Migennes à Cosne,Laroche-Migennes,Cosne
754000,Ligne de Clamecy à Nevers,Clamecy,Nevers
755000,Ligne de Cravant-Bazarnes à Dracy-St-Loup,Cravant-Bazarnes,Dracy-St-Loup
757000,Ligne de Maison-Dieu aux Laumes-Alésia,,
760000,Ligne de Nevers à Chagny,Nevers,Chagny
760306,Raccordement des lignes de Chagny à Dole et de Paris-Lyon à Marseille-St-Charles,,
760311,Raccordement des lignes de Nevers à Chagny et de Chagny à Dole,,
761000,Ligne d'Étang à Santenay (via Autun),,
762000,Ligne de Clamecy à Gilly-sur-Loire,Clamecy,Gilly-sur-Loire
764000,Ligne de St-Florentin-Vergigny à Moneteau-Gurgy,St-Florentin-Vergigny,Moneteau-Gurgy
768300,Raccordement de Pasilly à Aisy,,
769000,Ligne du Coteau à Montchanin,,
770000,Ligne de Moulins à Mâcon,Moulins,Mâcon
772000,Ligne de Cluny à Chalon-sur-Saône,Cluny,Chalon-sur-Saône
774000,Ligne de Pouilly-sous-Charlieu à Clermain,Pouilly-sous-Charlieu,Clermain
775000,Ligne de Paray-le-Monial à Givors-Canal,Paray-le-Monial,Givors-Canal
775311,Raccordement de Badan (poste 3) à Badan (poste 1),,
776000,Ligne de Belleville à Beaujeu,Belleville,Beaujeu
777300,Raccordement de Pont-de-Veyle,,
778300,Raccordement de Mâcon-Sud,,
779300,Raccordement de Mâcon-Nord,,
780000,Ligne de St-Étienne-La Terrasse à St-Étienne-Pont-de-l'Âne,St-Étienne-La Terrasse,St-Étienne-Pont-de-l'Âne
782000,Ligne de Lyon-St-Paul à Montbrison,Lyon-St-Paul,Montbrison
782310,Raccordement de Tassin (SHUNT-TT),,
783000,Ligne du Coteau à St-Germain-au-Mont-d'Or,,
784000,Ligne de Clermont-Ferrand à St-Just-sur-Loire,Clermont-Ferrand,St-Just-sur-Loire
785000,Ligne de St-Germain-des-Fossés à Darsac,St-Germain-des-Fossés,Darsac
786000,Ligne de Vichy à Cusset,Vichy,Cusset
787000,Ligne de Vichy à Riom,Vichy,Riom
789000,Ligne de La Ferté-Hauterive à Gannat,La Ferté-Hauterive,Gannat
790000,Ligne de St-Germain-des-Fossés à Nîmes-CRB1,St-Germain-des-Fossés,Nîmes-CRB1
790305,Raccordement de St Germain des Fossès,,
792000,Ligne du Puy à Langogne,,
793606,Voie-mère de la ZI de Volvic à Riom,,
795000,Ligne de Bonson à Sembadel,Bonson,Sembadel
796000,Ligne de St-Just-sur-Loire à St-Just-St-Rambert,St-Just-sur-Loire,St-Just-St-Rambert
797000,Ligne de Firminy à St-Rambert-d'Albon,Firminy,St-Rambert-d'Albon
797306,Raccordement de St-Rambert-d'Albon (bifurcation nord),,
797311,Raccordement sud de Peyraud,,
798000,Ligne de St-Georges-d'Aurac à St-Étienne-Châteaucreux,St-Georges-d'Aurac,St-Étienne-Châteaucreux
800000,Ligne de Givors-Canal à Grezan,Givors-Canal,Grezan
800306,Raccordement de Peyraud (bifurcation nord),,
800311,Raccordement nord de La Voulte (bifurcation nord),,
800316,Raccordement sud de La Voulte (bifurcation sud),,
805000,Ligne du Teil à Alès,,
