CODE_LIGNE,LIB_LIGNE,origin,destination
908320,Raccordement de Châteauneuf sur Isère,,
909000,Ligne de Grenoble à Montmélian,Grenoble,Montmélian
909306,Raccordement de Montmélian,,
909903,Déviation de la ligne de Grenoble à Montmélian,,
912000,Ligne de Livron à Aspres-sur-Buëch,Livron,Aspres-sur-Buëch
913000,Ligne de Livron à La Voulte,Livron,La Voulte
915000,Ligne de Veynes à Briançon,Veynes,Briançon
920000,Ligne de St-Auban à Digne,St-Auban,Digne
922000,Ligne de Cavaillon à St-Maime-Dauphin,Cavaillon,St-Maime-Dauphin
923000,Ligne de Cheval-Blanc à Pertuis,Cheval-Blanc,Pertuis
925000,Ligne d'Avignon à Miramas,,
926000,Ligne d'Orange à L'Isle-Fontaine-de-Vaucluse,,
927000,Ligne de Sorgues-Châteauneuf-du-Pape à Carpentras,Sorgues-Châteauneuf-du-Pape,Carpentras
929300,Raccordement d'Avignon,,
930000,Ligne de Marseille-St-Charles à Vintimille (frontière),Marseille-St-Charles,Vintimille (frontière)
934100,Voie de desserte de Moureplane,,
935000,Ligne de Miramas à L'Estaque,Miramas,L'Estaque
935111,Ligne de Port-de-Bouc à Caronte-la-Gafette,Port-de-Bouc,Caronte-la-Gafette
935306,Raccordement sud de Lavalduc,,
935311,Raccordement sud de Fos-Graveleau,,
935606,Voie-mère de Martigues à Lavera,,
935901,Ligne de Lavalduc à Fos-Coussoul (dépôts pétroliers),Lavalduc,Fos-Coussoul (dépôts pétroliers)
935902,Voie de desserte du môle minéralier de Fos,,
935903,Voie de desserte de Port-St-Louis-du-Rhône,,
935904,Voie de desserte de Fos-Graveleau,,
936300,Raccordement des Chartreux,,
937000,Ligne de Marseille-Blancarde à Marseille-Prado,Marseille-Blancarde,Marseille-Prado
939001,L'Estaque à Marseille St-Charles,,
939306,Raccordement de L'Estaque-Joliette à Marseille-Canet,,
940100,Ligne de Marseille-Arenc à Marseille-Canet,Marseille-Arenc,Marseille-Canet
942000,Ligne de La Pauline-Hyères aux Salins-d'Hyères,,
943000,Ligne des Arcs à Draguignan,,
944000,Ligne de Cannes-la-Bocca à Grasse,Cannes-la-Bocca,Grasse
945000,Ligne de Nice à Breil-sur-Roya,Nice,Breil-sur-Roya
946000,Ligne de Coni à Vintimille,Coni,Vintimille
947000,Ligne de Carnoules à Gardanne,Carnoules,Gardanne
948000,Ligne d'Aubagne à La Barque,,
957000,Ligne de Bobigny à Sucy-Bonneuil,Bobigny,Sucy-Bonneuil
958000,Ligne de Bondy à Aulnay-sous-Bois,Bondy,Aulnay-sous-Bois
959300,Raccordement nord de Villiers-sur-Marne,,
962000,Ligne d'Ermont-Eaubonne à Champ-de-Mars (VMI),,
963000,Ligne de La Plaine à Ermont-Eaubonne,La Plaine,Ermont-Eaubonne
973000,Ligne de Paris-St-Lazare à Versailles-Rive-Droite,Paris-St-Lazare,Versailles-Rive-Droite
974000,Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly,St-Cloud,St-Nom-la-Bretèche-Forêt-de-Marly
